country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Paraguay,South America,463199,16475,445928,796,47,63831,2270,1953621,269216,7256692
Peru,South America,2239421,201282,0,0,978,66605,5987,20414072,607153,33622605
Philippines,Asia,2833878,48987,2769914,14977,1023,25382,439,24313150,217767,111647653
Poland,Europe,3623452,85126,3091259,447067,1968,95889,2253,24656171,652490,37787809
Portugal,Europe,1157352,18492,1082421,56439,129,113974,1821,21283107,2095923,10154529
Qatar,Asia,243912,611,241198,2103,11,86869,218,3011489,1072542,2807805
Reunion,Africa,61188,384,57781,3023,18,67658,425,1347378,1489851,904371
Romania,Europe,1783630,56890,1695283,31457,1031,93601,2985,16108574,845346,19055592
Russia,Europe,9736037,278857,8436631,1020549,2300,66675,1910,226800000,1553178,146023223
Rwanda,Africa,100381,1343,45522,53516,1,7487,100,3497196,260858,13406534
Saint Barthelemy,North America,1603,6,0,0,0,161593,605,56491,5694657,9920
Saint Helena,Africa,2,0,2,0,0,328,0,0,0,6103
Saint Kitts And Nevis,North America,2787,28,2747,12,1,51869,521,56774,1056614,53732
Saint Lucia,North America,13017,280,12625,112,9,70432,1515,100538,543987,184817
Saint Martin,North America,3973,56,1399,2518,7,100328,1414,54303,1371288,39600
Saint Pierre And Miquelon,North America,59,0,32,27,0,10254,0,11864,2061870,5754
Saint Vincent And The Grenadines,North America,5579,74,5077,428,7,50063,664,90554,812581,111440
Samoa,Australia/Oceania,3,0,3,0,0,15,0,0,0,200283
San Marino,Europe,5979,93,5610,276,2,175688,2733,90716,2665609,34032
Sao Tome And Principe,Africa,3732,56,3675,1,0,16592,249,14689,65307,224922
Saudi Arabia,Asia,549848,8840,538990,2018,41,15453,248,31610540,888388,35581898
Senegal,Africa,74007,1886,72096,25,2,4261,109,877339,50514,17368166
Serbia,Europe,1260806,11837,1202858,46111,172,145130,1363,6860373,789689,8687438
Seychelles,Africa,23537,127,22912,498,0,237244,1280,0,0,99210
Sierra Leone,Africa,6402,121,0,0,0,780,15,160729,19585,8206647
Singapore,Asia,267916,744,256517,10655,50,45290,126,21098774,3566651,5915570
Sint Maarten,North America,4593,75,4498,20,10,105426,1722,62056,1424414,43566
Slovakia,Europe,712749,14696,578636,119417,630,130459,2690,4678940,856417,5463393
Slovenia,Europe,427035,5272,389959,31804,270,205370,2535,1955046,940223,2079343
Solomon Islands,Australia/Oceania,20,,20,0,0,28,0,4500,6332,710720
Somalia,Africa,23016,1327,12046,9643,0,1393,80,262138,15868,16520411
South Africa,Africa,3004203,89940,2852898,61365,546,49765,1490,19646423,325443,60368296
South Korea,Asia,462555,3739,403419,55397,736,9011,73,15804065,307881,51331769
South Sudan,Africa,12758,133,12463,162,2,1121,12,267531,23509,11379707
Spain,Europe,5202958,88159,4927391,187408,814,111221,1885,66213858,1415417,46780466
Sri Lanka,Asia,566196,14419,541536,10241,0,26285,669,5661108,262811,21540570
State Of Palestine,Asia,431111,4542,423304,3265,50,81816,862,2736577,519348,5269250
Sudan,Africa,43489,3164,35491,4834,0,960,70,238579,5267,45298211
Suriname,South America,50929,1169,29576,20184,9,85727,1968,160656,270427,594083
Swaziland,Africa,47158,1248,45255,655,11,40060,1060,391835,332856,1177190
Sweden,Europe,1212145,15136,1161101,35908,43,118971,1486,13708481,1345479,10188553
Switzerland,Europe,1039730,11606,867860,160264,213,118903,1327,12597593,1440655,8744354
Syria,Asia,48357,2760,29392,16205,0,2671,152,103566,5721,18102260
